*,AA,KK,QQ,JJ,TT,99,88,AKs,77,AQs,AJs,AKo,ATs,AQo,AJo,KQs,66,A9s,ATo,KJs,A8s,KTs,KQo,A7s,A9o,KJo,55,QJs,K9s,A5s,A6s,A8o,KTo,QTs,A4s,A7o,K8s,A3s,QJo,K9o,A5o,A6o,Q9s,K7s,JTs,A2s,QTo,44,A4o,K6s,K8o,Q8s,A3o,K5s,J9s,Q9o,JTo,K7o,A2o,K4s,Q7s,K6o,K3s,T9s,J8s,33,Q6s,Q8o,K5o,J9o,K2s,Q5s,T8s,K4o,J7s,Q4s,Q7o,T9o,J8o,K3o,Q6o,Q3s,98s,T7s,J6s,K2o,22,Q2s,Q5o,J5s,T8o,J7o,Q4o,97s,J4s,T6s,J3s,Q3o,98o,87s,T7o,J6o,96s,J2s,Q2o,T5s,J5o,T4s,97o,86s,J4o,T6o,95s,T3s,76s,J3o,87o,T2s,85s,96o,J2o,T5o,94s,75s,T4o,93s,86o,65s,84s,95o,T3o,92s,76o,74s,T2o,54s,85o,64s,83s,94o,75o,82s,73s,93o,65o,53s,63s,84o,92o,43s,74o,72s,54o,64o,52s,62s,83o,42s,82o,73o,53o,63o,32s,43o,72o,52o,62o,42o,32o
QTo,-3.30039,-3.44581,-1.85513,-1.98337,-0.7796,-0.42188,-0.320366,-1.01966,-0.186959,-1.5068,-0.849214,-2.74344,-1.51089,-4.334,-2.19765,-1.56577,-0.166689,-0.570378,-4.30173,-0.911133,-0.553369,-1.57038,-4.53997,-0.507149,-1.29332,-2.39614,-0.0829976,-1.13433,-0.618744,-0.519133,-0.507084,-1.22828,-4.50932,-0.0720353,-0.519107,-1.07104,-0.53609,-0.513677,-3.25722,-1.44966,-1.10778,-1.07111,0.873542,-0.502856,1.25139,-0.508247,0.0281124,-0.0411181,-1.10724,-0.508202,-1.18651,0.877793,-1.08846,-0.486631,0.690853,3.21121,4.51553,-1.06836,-1.06936,-0.486606,0.880294,-1.08632,-0.481176,0.885161,0.747849,0.0164145,0.866723,3.22933,-1.0139,2.78334,-0.475746,0.870964,0.901489,-1.01336,0.805777,0.875065,3.24182,3.25392,2.96416,-0.994564,3.19625,0.896733,0.735409,0.972887,0.860909,-0.97548,0.0799325,0.918549,3.21061,0.84809,3.31149,3.14795,3.2233,0.793896,0.850583,0.960424,0.87414,3.29358,2.9211,0.705504,3.54737,3.32376,0.846464,0.898101,3.36454,1.01845,3.28397,1.02382,3.10668,0.742336,3.29182,3.50468,0.914108,1.04694,0.672283,3.36893,2.82766,1.07037,0.809979,3.27422,3.44756,3.6916,0.996909,0.739933,3.70806,0.999769,2.94429,0.660948,0.889433,3.48906,3.78259,1.02377,2.72513,0.801606,3.85825,0.652517,3.15913,0.72259,0.973391,3.7573,2.93995,0.976655,0.885565,3.76671,2.68399,0.736482,0.806548,3.41639,3.84534,0.739483,3.13914,0.969928,2.65814,2.88316,0.820845,0.890911,3.68777,0.823859,3.69872,3.41053,2.92952,3.15456,0.848019,2.93856,3.68345,3.20245,3.42747,3.21149,3.28981
44,-3.04442,-3.00484,-3.00825,-3.01041,-3.01011,-3.04281,-3.02613,0.108617,-3.03992,0.0876408,0.066671,0.838766,0.0457012,0.770018,0.70127,0.0156016,-3.05176,0.114769,0.632542,-0.00537469,0.122547,-0.0263445,0.5376,0.148552,0.857691,0.468852,-3.05892,-0.0724767,0.0429845,0.1472,0.189473,0.880496,0.400104,-0.0934531,0.436039,0.963507,0.123056,1.05264,0.250286,0.626096,0.962567,1.0945,-0.0238694,0.128072,-0.160607,1.06429,0.181538,0.00408163,1.68231,0.154077,0.884003,0.0564702,3.84656,0.181904,-0.090769,0.408353,-0.0372441,0.898207,3.88498,0.474478,0.133773,0.981336,1.06718,-0.157721,-0.0101747,3.06226,0.138782,0.667082,1.07024,0.190393,1.07882,0.166609,-0.0768718,1.80805,0.0673894,0.466531,0.916408,-0.0277616,0.449946,3.89155,0.93073,1.051,-0.154266,0.000953469,0.144692,3.92999,3.06714,1.06265,1.01962,0.151523,0.232614,0.700095,1.78162,-0.0734171,0.458681,0.078511,1.03503,3.83832,-0.0163396,-0.0768784,0.483585,0.949538,0.00440816,1.04667,3.87673,0.157642,0.96962,0.450939,0.24386,0.00120816,1.75551,0.733832,0.0837878,1.01927,-0.0190694,3.78567,0.234416,1.03091,0.080849,0.494949,3.82409,0.989055,0.461789,0.0608392,1.7297,1.02719,0.486328,0.0383673,0.431948,0.750975,3.73366,1.03883,0.42434,0.401577,3.77208,0.334746,0.743197,0.371069,1.07919,1.76478,0.682011,1.07861,1.08051,3.75922,0.613166,1.07352,1.08208,1.66661,3.79764,1.07327,1.56654,1.13076,1.34635,1.46602,1.12376,1.13232,3.92505,1.12896,3.92401,3.93053,3.90988,3.93674,2.18392,3.70287,4.09027,4.06962,4.09648,3.88416,7.37999
A4o,-2.00251,-1.93181,-1.93662,-1.93443,-1.92522,-1.88581,-1.84652,-1.1454,-1.82476,-1.12038,-1.07669,-3.25874,-1.01531,-3.18217,-3.04478,0.309767,-1.80934,-0.908474,-2.84972,0.289358,-0.786699,0.269348,1.56735,-0.641519,-2.50754,1.50047,-1.8651,0.213443,0.353224,-0.371329,-0.46948,-2.11933,1.43477,0.193427,-0.0713466,-1.65452,0.432102,0.0243854,1.25403,1.70347,-0.793028,-1.09958,0.27731,0.431556,0.117913,0.0371562,1.18835,-0.793351,0.0277557,0.434005,1.95698,0.356187,0.476579,0.515464,0.201795,1.45705,0.943137,1.95262,0.519716,1.38724,0.431575,1.96096,0.747102,0.12668,0.280672,-0.351102,0.413589,1.71057,2.21449,1.21184,0.754068,0.495055,0.205557,4.97017,0.35606,1.36433,1.95256,0.967822,1.46535,2.97486,1.89406,0.726693,0.132409,0.280945,0.414014,2.99966,-0.241741,0.733659,2.14759,0.475045,1.22134,1.70735,4.89535,0.210449,1.34181,0.338899,0.706677,2.90796,0.989367,0.166757,1.46333,1.89522,0.268403,0.713643,2.93276,0.475864,2.08191,1.3197,1.23953,0.224711,4.82172,1.6512,0.405367,0.687067,0.187673,2.84228,1.09551,0.694033,0.361675,1.42738,2.86706,2.08425,1.33616,0.324644,4.74932,0.690341,1.28338,0.271746,1.24348,1.86043,2.77778,0.697307,1.16332,1.17417,2.80258,1.10507,1.71643,1.08383,0.708764,4.80491,1.59637,0.69744,0.660333,2.79116,1.42702,0.551017,0.607448,4.50366,2.81596,0.951435,4.27849,0.736679,4.04561,3.98731,0.627756,0.683787,2.84822,1.02781,2.81356,2.6927,2.34087,2.52335,0.876155,3.4595,2.9387,2.58806,2.76934,3.7066,3.3762
K6s,-3.17431,-1.80301,-1.71725,-1.74979,-1.72652,-1.66714,-1.61273,-1.40386,-1.60326,-0.808013,-0.832643,-4.01699,-0.832878,-1.92779,-2.00617,-0.968964,-0.713594,-0.755831,-2.00943,-0.944263,-0.770597,-0.889804,-2.72605,-0.7906,-1.76594,-2.65005,-0.265957,0.364226,-0.79295,-0.596627,-1.39412,-1.81291,-2.47821,0.364366,-0.574657,-1.87887,-0.66684,-0.552681,1.60766,-2.16845,-1.2833,-3.99074,0.469429,-0.538487,0.266851,-0.528267,1.60552,-0.177499,-1.21069,0.0119332,-1.76414,0.552866,-1.13772,0.399193,0.374352,1.93682,1.29926,-1.35304,-1.0564,0.409699,0.625699,0.261919,0.415432,0.330024,0.457788,-0.0830358,1.39393,2.19906,1.66189,1.63807,0.422673,0.816605,0.413461,1.69748,0.530628,0.823516,2.42679,1.49367,1.90032,1.7177,4.99183,0.830797,0.383733,0.486294,1.38243,1.74322,0.0175465,0.841566,3.01239,0.792356,1.75591,2.12804,3.03651,0.436805,0.799262,1.29558,0.806543,3.06213,1.66213,0.401909,1.98364,4.95389,1.21422,0.817311,3.0993,0.808846,2.93514,0.797855,1.82673,1.15171,2.95927,4.66977,0.748232,0.805136,1.06597,2.98488,1.71639,0.815905,0.702212,4.40605,3.02205,2.98568,0.822453,0.632191,2.95232,0.809394,4.20372,0.832644,0.776433,2.79446,2.97795,0.820162,3.92307,0.706418,3.0151,0.746679,2.64983,0.903628,0.851029,3.03108,2.42635,0.841457,0.781015,2.99169,3.04525,0.83242,0.974883,2.88643,3.02887,0.841776,2.66295,0.855987,2.77541,3.27656,0.918517,1.04641,3.12453,0.927892,3.09671,2.90104,3.04781,3.50897,0.940818,3.07901,3.14074,3.32179,3.74254,3.35299,3.39563
K8o,-3.64076,-2.09066,-2.10921,-2.12665,-2.13742,-2.08024,-0.956575,-1.69779,-0.633502,-1.03947,-1.06014,-4.93683,-1.0808,-2.78025,-2.85027,-1.20081,-0.561195,-1.00476,-2.92029,-1.15568,-1.68964,-1.11252,-3.44038,-0.793307,-2.6781,-3.29987,-0.47999,0.220279,-1.01037,-0.785127,-0.7706,-4.86864,-3.16561,0.218511,-0.762428,-1.9875,-0.071811,-0.737204,1.28701,-2.84021,-1.9563,-1.91139,0.327366,0.624749,0.156221,-0.737179,1.27878,-0.38547,-1.87971,0.615833,0.0280224,1.26228,-1.79452,0.602935,0.265076,1.626,1.07683,2.42272,-1.79343,0.610319,0.671231,2.39409,0.63305,0.20319,1.16749,-0.28042,0.635311,4.57326,2.35255,1.42405,0.637047,0.619241,1.0731,2.37763,0.597432,0.629207,2.73957,1.22331,4.26531,2.4529,2.62419,0.6573,1.00753,0.524035,0.652663,2.46564,-0.22358,0.660592,2.57288,0.615488,3.95856,2.50182,2.6071,0.45755,0.625454,0.579267,0.65354,2.70078,3.74811,0.768999,2.26528,2.67801,0.512781,0.656839,2.71156,0.633236,2.55847,0.622098,2.05366,0.827986,2.59267,2.44149,0.566751,0.650191,0.579222,2.68635,2.88608,0.653489,0.88603,2.22987,2.69715,2.6135,0.64342,0.644663,2.57947,0.653752,3.07601,0.572029,0.963017,2.40188,2.67315,0.657044,2.4333,0.732842,2.68393,0.569262,3.26281,0.660215,1.04031,2.64847,2.64111,1.04646,0.823417,2.68485,2.40774,0.659849,0.750789,3.51163,2.69563,0.69003,2.9235,0.906761,2.39687,2.69013,0.739849,0.834133,3.76163,0.752295,3.78082,3.21367,2.68702,2.98029,0.782937,2.78656,3.48404,2.94645,3.25065,2.98807,3.08916
Q8s,-3.06691,-3.0968,-1.75291,-1.726,-1.73574,-1.68192,-0.69465,-0.959815,-0.214592,-1.3436,-0.792862,-2.41235,-0.812929,-3.82267,-1.88761,-1.41552,-0.19563,-0.738752,-1.95385,-0.85524,-1.32266,-0.875307,-4.06111,-0.509906,-1.71957,-2.0861,-0.121408,-0.947799,-0.80113,-0.524169,-0.50988,-3.75844,-2.15234,-0.907839,-0.502123,-1.00846,-1.29668,-0.477631,-2.66932,-1.91807,-1.05246,-1.00836,-0.812959,-0.517491,0.383732,-0.477612,-2.54474,-0.0349274,-0.979614,-0.522707,-3.67899,0.0119713,-0.898401,-0.504338,0.488939,-2.24137,1.65732,-1.03277,-0.896983,-0.482298,0.729328,-1.04968,-0.457807,0.428706,1.29997,0.0612642,0.716648,0.262621,-0.989191,1.98907,-0.457781,0.705462,1.21284,-0.916348,0.827448,0.712836,2.73057,1.79584,4.68303,-0.835135,2.68821,0.734246,1.13085,0.756054,0.881366,-0.833717,0.111802,0.738043,2.65231,0.846461,4.398,3.0407,2.67768,0.691754,0.856511,0.809973,0.883646,2.74927,4.13229,0.88925,2.81306,3.21207,0.743221,0.886685,2.76179,0.863004,3.10215,0.852648,2.61046,0.877848,3.13634,2.98443,0.796252,0.879783,0.765855,3.22548,3.23598,0.882822,0.931532,2.77394,3.23596,3.15285,0.87071,0.830046,3.12186,0.880555,3.19751,0.754375,1.00254,2.94238,3.21098,0.883601,2.83767,0.915665,3.22148,0.753628,3.37186,0.840006,1.07383,3.17974,3.04051,1.07945,1.00359,3.21368,2.80128,0.841571,0.92793,3.60333,3.22416,0.870787,3.31229,1.08281,2.80116,3.07305,0.91767,1.00715,3.83601,0.930196,3.85414,3.59163,3.0805,3.3524,0.959872,3.17513,3.84272,3.32162,3.60349,3.36289,3.45912
A3o,-2.01701,-1.96356,-1.96835,-1.96616,-1.957,-1.88021,-1.89456,-1.16392,-1.84284,-1.13879,-1.09505,-3.31938,-1.03366,-3.24246,-3.10492,0.302824,-1.82747,-0.909681,-2.90988,0.282479,-0.807851,0.262533,1.54391,-0.647891,-2.51213,1.47722,-1.87765,0.206805,0.351798,-0.382814,-0.477159,-2.18695,1.41175,0.186852,-0.251483,-1.67404,0.403921,-0.0713138,1.23159,1.69732,-0.829252,-1.12338,0.276123,0.406021,0.111576,0.0217138,1.16612,-1.81504,-0.403926,0.408462,1.86669,0.328247,0.027668,0.48967,0.200847,1.45169,0.921657,1.8706,0.469508,0.512854,0.406046,1.87891,1.39247,0.12597,0.252971,-0.766297,0.388111,1.62105,2.13164,1.20723,0.74572,0.469319,0.178093,2.20735,0.330764,0.492503,1.87054,0.963984,1.37661,4.98705,1.81222,1.36963,0.131674,0.255886,0.388534,2.97152,-0.2749,0.725375,2.06495,0.449372,1.13335,1.6261,2.14067,0.209474,0.472557,0.313657,1.34719,4.91247,0.985461,0.108895,1.38286,1.81336,0.267244,0.705423,2.90483,0.450188,1.99946,0.453002,1.23495,0.166704,2.07517,1.57011,0.403775,1.32514,0.14393,4.83908,0.910786,0.685875,0.30584,1.42222,2.83934,2.00181,0.482289,0.283074,2.01088,1.33155,1.09804,0.230343,0.384354,1.8539,4.76689,0.694786,1.02248,0.361581,2.77505,0.255197,1.53786,0.308863,1.32031,2.10857,1.46229,0.670387,1.25123,4.78987,1.29348,1.18236,1.16118,1.79252,2.80612,1.20864,1.71696,0.70954,1.37437,1.54814,0.603573,0.656822,4.75253,0.627326,2.72651,4.52822,4.29609,4.23798,1.03193,4.38111,2.85137,2.50998,2.68255,2.58688,3.71916
K5s,-3.18873,-1.7961,-1.7094,-1.70732,-1.73352,-1.64679,-1.58759,-1.42643,-1.57816,-0.823841,-0.829025,-4.09424,-0.853577,-1.98286,-1.99982,-0.968893,-1.55715,-0.760165,-2.07795,-0.928263,-0.771787,-0.891426,-2.72659,-0.791721,-1.78257,-2.59868,-0.686812,0.366699,-0.780875,-1.40737,-0.791201,-1.81949,-2.48292,0.342522,-0.649047,-1.88525,-0.653605,-0.627147,1.61354,-2.12838,-4.03716,-1.88496,0.449688,-0.529237,0.269627,-0.605247,1.53653,-0.217485,-1.45123,-0.374136,-1.72022,0.53286,-1.37851,0.0118953,0.376793,1.87426,1.30599,-1.32211,-1.30529,0.259128,0.605462,-0.82259,0.270676,0.279962,0.459965,-0.123321,0.604669,2.13568,0.261278,1.64374,0.276333,1.38801,0.36557,1.20751,0.532574,0.837519,2.36268,1.33957,1.90515,1.24678,2.35782,0.844777,0.34917,0.438173,0.605069,1.26709,-0.0230579,0.852416,4.97143,1.36734,1.60848,2.13214,3.07811,0.402075,0.818544,0.510668,0.825808,3.10363,1.55557,0.369719,1.83546,2.35891,0.474569,0.83344,3.13075,1.35624,4.90335,0.794747,1.71964,0.442214,3.01711,2.06221,1.27515,0.802005,0.383505,3.04265,1.61714,0.809643,1.21283,1.9464,3.06977,4.86665,0.819267,1.12738,2.94125,0.808685,1.84389,1.0634,0.775829,4.60377,2.96677,0.816324,1.65531,0.706036,2.99389,0.834866,4.40209,0.656013,0.850189,3.01974,4.12233,0.837551,0.780397,2.98797,3.91314,0.90591,0.730373,2.88305,3.01509,0.848381,2.66027,0.855131,3.05072,2.50089,0.97721,0.805107,3.12038,0.934224,3.08272,2.89761,3.28239,2.73821,0.944006,3.09619,3.13654,3.51522,2.97714,3.36933,3.40189
J9s,-2.79548,-2.90213,-3.03434,-1.61323,-1.65256,-0.58946,-0.15532,-0.82905,-0.0587933,-0.839547,-1.28306,-2.00887,-0.687617,-2.04868,-3.62724,-0.898426,0.0677095,-1.15612,-1.57002,-1.24921,-0.424364,-0.747077,-2.23587,-0.392364,-3.21694,-3.53196,0.0927151,-1.28655,-1.21158,-0.378113,-0.34181,-0.747639,-1.75899,-0.811326,-0.353622,-0.642771,-0.405855,-0.353603,-3.66805,-3.41227,-0.59435,-0.477989,-1.27045,-0.388942,-0.896399,-0.348342,-1.96356,0.180996,-0.513481,-0.343623,-0.696919,-0.457015,-0.512543,-0.347275,0.0119713,-3.61883,-2.52191,-0.638308,-0.494002,-0.322784,-0.377162,-0.490516,-0.322758,1.26474,0.831563,0.223135,-0.344479,-0.861108,-0.502276,0.262611,-0.317504,-0.348131,0.812897,-0.421427,0.839325,-0.323639,-0.60952,4.55682,3.04792,-0.420488,-0.500093,-0.32362,0.90657,0.868846,0.844846,-0.401947,0.279898,-0.318359,-0.511853,0.831366,2.98276,3.0778,-0.431004,0.923971,0.852833,0.925682,0.856688,-0.430065,3.28469,0.873634,3.15898,3.10048,0.991891,0.876594,-0.411524,0.978426,3.05549,0.987895,3.34618,0.931052,3.127,3.33799,0.979441,0.990563,0.848453,3.13936,3.16607,1.01309,0.981338,3.57176,3.20482,3.50565,1.05026,0.883499,3.53808,1.05541,3.34684,0.818152,1.06888,3.52992,3.54696,1.07676,3.09194,0.971045,3.62,0.809647,3.5066,0.905705,1.14773,3.76092,3.20292,1.15077,1.04677,3.77728,3.00293,0.868674,0.964725,3.78447,3.84719,0.89789,3.48077,1.12743,2.97613,3.2808,0.949338,1.04538,4.03395,0.978573,4.04455,3.72027,3.16231,3.46696,0.981848,3.25705,3.97586,3.4179,3.72255,3.51264,3.52264
Q9o,-3.34989,-3.46527,-1.94099,-2.0387,-2.04988,-0.842738,-0.480903,-1.09927,-0.347923,-1.6322,-0.926745,-2.99062,-0.947414,-4.72783,-2.43858,-1.59438,-0.327728,-1.50767,-2.50861,-0.987939,-0.662783,-1.00861,-4.61966,-0.616705,-4.28074,-2.63472,-0.248541,-1.14207,-1.56698,-0.631167,-0.616641,-1.57168,-2.70476,-1.09609,-0.605944,-1.41494,-0.645515,-0.605925,-3.27234,-4.4875,-1.45993,-1.41502,-0.0718046,-0.612388,0.295436,-0.600506,-3.12887,-0.152215,-1.37498,-0.617717,-1.52993,0.773534,-1.37421,-0.598732,1.24216,0.0280224,1.51031,-1.41216,-1.35516,-0.573508,0.779707,-1.43007,-0.573483,1.14738,0.667516,-0.10458,0.765982,2.89525,-1.36621,4.49428,-0.56807,0.754809,0.593717,-1.28126,0.725252,0.777593,2.91956,4.18634,2.71369,-1.28049,2.87354,0.781633,0.828231,0.651452,0.780215,-1.26147,-0.0412554,0.803183,2.83764,0.746376,2.47594,2.89689,2.9129,0.8994,0.774059,0.706415,0.776954,2.92558,3.07482,0.678328,2.65914,3.07212,0.886977,0.800839,2.99571,0.760384,2.96351,0.770306,3.30994,0.715036,3.05574,2.83436,0.94482,0.773195,0.627491,3.06501,2.74326,0.797079,0.780471,3.26738,3.14339,3.0064,1.02161,0.692932,3.04131,1.02726,2.85952,0.614162,0.870642,3.45358,3.05057,1.05061,2.58316,0.783103,3.12897,0.631148,3.06733,0.704339,0.953588,3.7019,2.79098,0.956842,0.862706,3.71939,2.53581,0.693002,0.783942,3.35604,3.7948,0.723183,3.07969,0.946799,2.58916,2.82453,0.777095,0.868035,3.62488,0.807289,3.63578,3.33758,2.78915,3.08241,0.810741,2.8888,3.60963,3.0612,3.35447,3.16083,3.17131
JTo,-3.12136,-3.26633,-3.41264,-1.76664,-0.702711,-0.343331,-0.246668,-0.93445,-0.141002,-0.946684,-1.419,-2.47333,-1.40997,-2.52373,-4.05364,-1.02131,0.000192154,-0.503552,-3.97879,-1.47778,-0.489121,-1.46928,-2.76177,-0.456705,-1.08722,-4.25895,0.0269784,-1.54087,-0.551769,-0.439885,-0.402722,-1.03064,-4.1857,-1.53237,-0.439865,-0.918552,-0.46938,-0.434447,-4.47824,-1.24306,-0.85666,-0.73568,-0.604573,-0.452426,-0.0718046,-0.429034,-4.40499,0.0663026,-0.856122,-0.403837,-0.980753,-0.522184,-0.837387,-0.407488,0.867348,-1.41423,0.0280224,-0.915901,-0.818363,-0.407468,-0.439795,-0.75086,-0.402056,0.932647,0.871187,0.120817,-0.404151,-1.15192,-0.763062,3.18403,-0.396637,-0.407808,0.933608,-0.762543,0.873122,-0.407782,-0.889576,3.40246,3.20089,-0.743808,-0.763523,-0.40237,0.809345,0.949989,0.889701,-0.724785,0.180903,-0.396958,-0.775725,0.875078,3.41,3.21155,-0.775187,0.855616,0.879171,1.02126,0.900769,-0.756471,3.14846,0.752186,3.46772,3.26995,0.916311,0.922516,-0.737448,1.00769,3.22102,1.01285,3.29596,0.812881,3.23369,3.70319,0.96996,1.03569,0.742905,3.30374,2.96824,1.05884,0.864013,3.48842,3.37446,3.65703,1.0525,0.778351,3.67284,1.05535,3.16072,0.767603,0.943212,3.65963,3.74652,1.07927,2.94172,0.839833,3.82133,0.67339,3.32366,0.770434,1.0269,3.92701,3.05394,1.03016,0.923516,3.93638,3.02748,0.757086,0.854123,3.58011,4.01476,0.760077,3.25247,1.00761,2.72036,3.03528,0.841179,0.938216,3.85063,0.844183,3.86154,3.523,2.99087,3.30579,0.868266,2.99988,3.79504,3.26292,3.57784,3.27194,3.35001
K7o,-3.58738,-2.06313,-2.10491,-2.08652,-2.0918,-2.0348,-1.97782,-1.67539,-0.927486,-1.02482,-1.02427,-4.86497,-1.04155,-2.73474,-2.73581,-1.18347,-0.566346,-0.96574,-2.79469,-1.13829,-0.980878,-1.09507,-3.38491,-1.67411,-2.55327,-3.24415,-0.485401,0.180463,-0.99306,-0.780591,-0.76611,-2.60223,-3.10972,0.18137,-0.757963,-4.82034,-0.85495,-0.73533,1.15729,-2.78477,-1.94567,-1.9009,0.289877,-0.0715946,0.136185,-0.710187,1.15731,-0.391183,-1.86932,0.476394,-2.34316,0.376179,-1.79274,0.467459,0.244693,1.50342,1.00875,0.027933,-1.70751,0.4731,1.34424,1.94347,0.480412,0.185634,0.331001,-0.290691,0.648983,1.77767,1.91485,1.35486,0.503023,0.632958,0.271936,1.9342,1.24976,0.639566,4.83651,1.16296,1.62911,1.9592,2.66471,0.649903,0.238985,1.15566,0.666311,2.0343,-0.179626,0.678308,2.61359,0.631885,1.43722,4.5297,2.63678,1.06673,0.638493,0.59578,0.64883,2.67231,1.33325,0.998563,4.22392,2.71849,0.530324,0.677235,2.76722,0.649577,2.60753,0.635148,3.93746,0.483097,2.63073,2.49092,0.584121,0.645491,0.763887,2.66628,3.7181,0.67389,0.536894,2.28268,2.76117,2.66241,0.660546,0.821746,2.61757,0.649852,2.13347,0.58543,0.613318,2.45415,2.65312,0.678257,2.86694,0.898492,2.74801,0.579346,2.30496,0.673334,0.690145,2.69995,3.05315,0.700846,0.975534,2.66747,2.4502,0.667652,0.761634,2.55076,2.76238,0.680038,3.30117,1.05288,2.42844,2.73169,0.758346,0.852322,2.798,0.770745,2.83577,3.55025,2.71139,3.01461,0.80129,2.75287,3.80056,3.00215,3.30537,3.04363,3.14429
A2o,-2.03146,-1.99526,-2.00004,-1.99785,-1.98872,-1.91217,-1.8891,-1.18258,-1.8909,-1.15732,-1.11353,-3.38031,-1.05214,-3.30302,-3.16533,0.295773,-1.87546,-0.928359,-2.97031,0.275486,-0.809423,0.255603,1.52032,-0.669466,-2.57322,1.45384,-1.89028,0.20005,0.344593,-0.387811,-0.499035,-2.1926,1.38856,0.180167,-0.264643,-1.74292,0.402181,-0.249645,1.20898,1.67323,-0.844213,-1.19333,0.269151,0.377853,0.105128,-0.0713853,1.1437,-1.82786,-0.445518,0.380325,1.85973,0.326745,-0.397106,0.463874,0.194112,1.42837,0.900028,1.78054,0.0275808,0.486985,0.377879,1.78894,0.510096,0.11947,0.251707,-1.75814,0.360044,1.61487,2.04898,1.1847,1.39747,0.443593,0.177065,2.12446,0.30284,0.466704,1.78048,0.942222,1.3712,2.20028,1.72246,0.489816,0.130793,0.228199,0.360467,5.00382,-0.736175,1.3747,1.98251,0.423704,1.12872,1.53681,2.05799,0.181926,0.446815,0.285825,0.469926,2.13381,0.981296,0.108085,1.29434,1.72361,0.239552,1.35232,4.92948,0.424523,1.91724,0.427329,1.14691,0.165712,1.9927,1.48113,0.378251,0.45044,0.072063,2.06852,0.906837,1.33035,0.30441,1.33369,4.85632,1.91957,0.456517,0.227505,1.92861,0.459322,1.09362,0.174941,0.382676,1.77214,2.00443,1.33673,0.794383,0.305771,4.78436,0.216416,1.53207,0.253214,0.460942,2.02599,1.28478,1.31556,0.384032,2.03539,1.11661,0.295092,0.33148,1.78591,4.80728,0.318752,1.53865,1.32759,1.24921,1.37048,1.25894,1.23782,2.04013,1.28515,4.73772,1.79285,1.50461,1.62468,1.31142,1.58128,4.77623,4.545,4.48705,4.62975,4.71486
K4s,-3.21714,-1.80939,-1.73846,-1.73639,-1.7281,-1.69089,-1.60443,-1.45014,-1.59008,-0.842814,-0.847981,-4.1727,-0.853142,-2.04495,-2.06186,-0.985845,-1.56914,-0.784266,-2.07874,-0.945154,-0.779295,-0.892477,-2.78267,-0.796085,-1.85895,-2.65457,-1.54233,0.360329,-0.79967,-0.869787,-0.79556,-1.84326,-2.48717,0.341413,-1.4121,-1.89892,-0.658843,-0.647115,1.5924,-2.18913,-2.13608,-1.89864,0.424006,-0.533312,0.268756,-0.625284,1.5316,-0.665497,-4.0537,-0.383393,-1.73665,0.509344,-1.4437,-0.234593,0.351342,1.79363,1.30181,-1.33469,-1.37071,0.0118577,0.581717,-0.85209,0.148145,0.279051,0.43668,-0.153458,0.580926,2.06169,-0.372109,1.56383,0.160724,0.601031,0.364389,0.260794,0.509053,1.3928,2.28795,1.33514,1.83187,0.848248,2.28313,0.836901,0.295564,0.436768,0.581319,0.891235,-0.0535209,0.844509,2.34498,0.582115,1.6032,2.05816,4.98655,0.350729,1.37219,0.509034,0.817986,3.07779,1.39075,0.331668,1.82946,2.28419,0.422994,0.825594,3.10482,0.582887,2.28419,1.35196,1.56176,0.403934,4.91869,2.0555,0.496847,0.799443,0.347832,3.01698,1.50003,0.807058,0.477787,1.7878,3.04403,2.28637,1.34636,0.421692,4.85197,0.783779,1.72606,0.382868,1.28424,2.01866,2.95731,0.791393,1.54556,1.19906,2.98437,1.06218,1.95694,1.1353,0.825157,4.83567,1.77642,0.814982,0.758008,2.90971,1.65162,0.639703,0.708142,4.63462,2.93675,0.910079,4.35574,0.832506,3.90766,4.14722,0.714201,0.78264,3.0417,0.981173,3.01163,2.82709,2.44957,2.66821,0.935817,3.29515,3.06526,2.68775,2.90639,3.52725,3.3751
